lat_deg,mean_sb_dBW,mean_pt_dBW,pt_minus_sb_dBW,sample_sb,sample_pt,num_valid_grids
7.5,38.7027942603685,38.605894089581,-0.0969001707875421,617652,714373,360
8.5,38.7090419693094,38.6068739617338,-0.102168007575536,619655,735915,360
9.5,38.720617837413,38.6082415305044,-0.112376306908615,624504,751548,360
10.5,38.7292240947591,38.6110149486961,-0.118209146062959,629067,760732,360
11.5,38.7497639300488,38.6161466228656,-0.133617307183229,635039,772493,360
12.5,38.7505852020648,38.6218454611637,-0.128739740901153,643566,780775,360
13.5,38.7498818098624,38.6308272021188,-0.119054607743649,655046,791237,360
14.5,38.7429194508919,38.6449913279159,-0.0979281229759934,665399,803334,360
15.5,38.7303067079208,38.6674364510708,-0.0628702568499264,677840,815208,360
16.5,38.7158826002294,38.6956392143943,-0.0202433858351299,696529,827952,360
17.5,38.6940489226275,38.7259572779503,0.0319083553228481,725439,838570,360
18.5,38.6697395282421,38.767934235429,0.0981947071868561,755883,847030,360
19.5,38.6462409653034,38.8061633977874,0.159922432484009,790408,857901,360
20.5,38.6314912440581,38.8490980296836,0.217606785625499,825944,868187,360
21.5,38.6249969843777,38.8888580278372,0.26386104345945,863728,886562,360
22.5,38.6119334717051,38.9169806580086,0.305047186303547,913612,903656,360
23.5,38.5993825717348,38.9350277746734,0.335645202938601,975863,919534,360
24.5,38.5951902810769,38.9495538680701,0.354363586993159,1089200,935247,360
25.5,38.599019537372,38.9707442915215,0.371724754149469,1209368,950857,360
26.5,38.6186635962012,38.98050782795,0.361844231748805,1300687,970909,360
27.5,38.6280118940424,38.981161667296,0.35314977325357,1380542,992323,360
28.5,38.6494070104309,38.9787393764458,0.32933236601481,1486565,1020790,360
29.5,38.6840239498655,38.9706751772356,0.286651227370058,1552808,1054353,360
30.5,38.6908332155391,38.9518363180458,0.261003102506763,1594917,1102718,360
31.5,38.7172027508545,38.931494462722,0.214291711867553,1618273,1170715,360
32.5,38.7350613761199,38.9015726865379,0.166511310418052,1551662,1264612,360
33.5,38.7425332244558,38.8592401959088,0.116706971452999,1433857,1404283,360
34.5,38.7582426690052,38.7888195419932,0.030576872988,1131645,1698791,360
35.5,38.7658559283841,38.712989512574,-0.0528664158100582,593609,2189469,360
36.5,38.6645198837835,38.6991442905863,0.0346244068027346,420732,2261135,360
37.5,38.6355871160083,38.6284627618423,-0.00712435416596691,258567,706682,360
38.5,38.7968517424391,38.5724812301128,-0.224370512326324,171895,99027,357
39.5,38.8667607609221,38.4971663285233,-0.369594432398749,94054,20882,264
